Brand,Model_Name,Processor_name,ram,Processor_generation,OS,storage,rating,price,screen_size(inch)
Lenovo,LenovoThinkBook13sCorei511th,Intel Core i5 ,16 GB DDR4 ,11th Gen,64 bit Windows 10 ,512 GB SSD33.02 ,4.2,"₹64,990", 13 
DELL,DELLVostroCorei311thGen,Intel Core i3 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,256 GB SSD38.0 ,4.3,"₹42,690", 14.96  
ASUS,ASUSROGStrixG15(2022)with,AMD Ryzen 7 Octa Core ,16 GB DDR5 ,,Windows 11 ,1 TB SSD39.62 ,5.0,"₹1,40,990", 15.6 
Lenovo,LenovoCorei311thGen-,Intel Core i3 ,4 GB DDR4 ,11th Gen,64 bit Windows 10 ,256 GB SSD38.1 ,4.3,"₹38,990", 15 
HP,HPSpectreCorei712thGen,Intel Core i7 ,16 GB LPDDR4X ,12th Gen,64 bit Windows 11 ,512 GB SSD34.29 ,4.1,"₹1,28,990", 13.5 
acer,acerAspireCorei312thGen,Intel Core i3 ,8 GB DDR4 ,12th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.6,"₹54,999", 15.6 
acer,acerAspire5Corei511th,Intel Core i5 ,8 GB DDR4 ,11th Gen,64 bit Windows 10 ,1 TB HDD|256 GB SSD39.62 ,4.1,"₹60,130", 15.6 
acer,acerAspire3PentiumSilver-,Intel Pentium Silver ,8 GB DDR4 ,,64 bit Windows 11 ,256 GB SSD35.56 ,4.3,"₹29,490", 14 
DELL,DELLInspironCorei511thGen,Intel Core i5 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,512 GB SSD35.56 ,4.1,"₹72,490", 14  Touchscreen 
GIGABYTE,GIGABYTEG5GDCorei511th,Intel Core i5 ,16 GB DDR4 ,11th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,5.0,"₹73,990", 15.6  
acer,acerAspire5Corei511th,Free upgrade to Windows 11 when availableIntel Core i5 ,8 GB DDR4 ,11th Gen,64 bit Windows 10 ,1 TB HDD39.62 ,4.0,"₹47,130", 15.6 
Lenovo,LenovoIdeapadSlim5Ryzen7,AMD Ryzen 7 Octa Core ,8 GB DDR4 ,,64 bit Windows 10 ,512 GB SSD35.56 ,4.4,"₹55,600", 14 
DELL,DELLVostroRyzen5QuadCore,AMD Ryzen 5 Quad Core ,8 GB DDR4 ,,64 bit Windows 10 ,512 GB SSD35.56 ,4.4,"₹49,690", 14 
ASUS,ASUSStudiobookProCorei712th,Intel Core i7 ,32 GB DDR5 ,12th Gen,64 bit Windows 11 ,1 TB SSD40.64 ,4.0,"₹2,39,990", 16 
MSI,MSIKatanaGF66Corei511th,Intel Core i5 ,16 GB DDR4 ,11th Gen,64 bit Windows 10 ,512 GB SSD39.62 ,4.5,"₹73,990", 15.6  
HP,HP14sRyzen5HexaCore,AMD Ryzen 5 Hexa Core ,8 GB DDR4 ,,64 bit Windows 10 ,512 GB SSD35.56 ,4.4,"₹52,490", 14  
HP,HPCorei311thGen-,Intel Core i3 ,8 GB DDR4 ,11th Gen,Windows 11 ,512 GB SSD39.62 ,4.3,"₹41,990", 15.6 
ASUS,ASUSVivobook14PentiumQuadCore,Intel Pentium Quad Core ,8 GB DDR4 ,,64 bit Windows 11 ,256 GB SSD35.56 ,4.3,"₹29,990", 14 
Nokia,NokiaPureBookX14Corei510th,Intel Core i5 ,8 GB DDR4 ,10th Gen,64 bit Windows 10 ,512 GB SSD35.56 ,4.4,"₹50,490", 14 
acer,acerPredatorHelios300Corei7,Intel Core i7 ,16 GB DDR4 ,11th Gen,64 bit Windows 10 ,1 TB HDD|512 GB SSD39.62 ,4.4,"₹96,490", 15.6 
MSI,MSIPrestige14IntelEVOCore,Intel Core i5 ,16 GB LPDDR4X ,11th Gen,64 bit Windows 10 ,512 GB SSD35.56 ,4.5,"₹74,990", 14 
ASUS,ASUSCorei510thGen-,Intel Core i5 ,8 GB DDR4 ,10th Gen,64 bit Windows 10 ,512 GB SSD39.62 ,4.2,"₹51,990", 15.6 
ASUS,ASUSRyzen5HexaCore-,AMD Ryzen 5 Hexa Core ,8 GB DDR4 ,,64 bit Windows 10 ,1 TB HDD|256 GB SSD39.62 ,4.2,"₹71,345", 15.6 
ASUS,ASUSTUFGamingF15Corei7,Intel Core i7 ,16 GB DDR4 ,11th Gen,64 bit Windows 10 ,1 TB SSD39.62 ,4.5,"₹1,01,490", 15.6 
MSI,MSIStealthGS66Corei712th,Intel Core i7 ,32 GB DDR5 ,12th Gen,64 bit Windows 11 ,1 TB SSD39.62 ,4.1,"₹2,74,990", 15.6  
ASUS,ASUSROGZephyrusG15(2022)with,AMD Ryzen 9 Octa Core ,16 GB DDR5 ,,64 bit Windows 11 ,1 TB SSD39.62 ,4.3,"₹1,99,990", 15.6 
DELL,DELLVostroCorei311thGen,Intel Core i3 ,8 GB DDR4 ,11th Gen,64 bit Windows 10 ,256 GB SSD35.56 ,3.9,"₹41,090", 14  
Lenovo,LenovoIdeapadSlim3i(2021)Core,Intel Core i5 ,8 GB DDR4 ,11th Gen,64 bit Windows 10 ,256 GB SSD39.62 ,4.3,"₹50,499", 15.6 
HP,HPVictusRyzen7OctaCore,AMD Ryzen 7 Octa Core ,8 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD40.89 ,4.3,"₹78,950", 16.1 
Lenovo,LenovoIdeaPadFlex5Ryzen5,AMD Ryzen 5 Hexa Core ,16 GB LPDDR4X ,,64 bit Windows 11 ,512 GB SSD35.56 ,4.1,"₹67,990", 14 
ASUS,ASUSROGStrixG15(2022)with,AMD Ryzen 9 Octa Core ,16 GB DDR4 ,,64 bit Windows 11 ,1 TB SSD39.62 ,4.0,"₹1,87,990", 15.6  
Lenovo,LenovoYogaSlim7IntelEVO,Intel Core i7 ,16 GB DDR4 ,11th Gen,64 bit Windows 10 ,1 TB SSD35.56 ,4.2,"₹1,02,990", 14 
ASUS,ASUSExpertBookCorei311thGen,Intel Core i3 ,4 GB DDR4 ,11th Gen,64 bit DOS ,256 GB SSD39.62 ,4.4,"₹35,990", 15.6 
HP,HP15sRyzen5QuadCore,AMD Ryzen 5 Quad Core ,8 GB DDR4 ,,64 bit Windows 10 ,512 GB SSD39.62 ,4.4,"₹52,575", 15.6 
DELL,DELLInspironRyzen5QuadCore,AMD Ryzen 5 Quad Core ,8 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,4.0,"₹50,990", 15.6 
Lenovo,LenovoCorei511thGen-,Intel Core i5 ,16 GB DDR4 ,11th Gen,Windows 10 ,512 GB SSD39.62 ,4.5,"₹60,125", 15.6 
Lenovo,LenovoIdeaPad1CeleronDualCore,Intel Celeron Dual Core ,4 GB DDR4 ,4th Gen,64 bit Windows 10 ,256 GB SSD29.46 ,3.9,"₹26,490", 11.6 
HP,HPVictusRyzen7OctaCore,AMD Ryzen 7 Octa Core ,8 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD40.89 ,4.1,"₹80,249", 16.1  
